,N,accuracy,combiner,convergence_decimals,epoch_count,experiment,experiment_hash,experiment_id,gradient_step_count,iteration_count,k,measured_time,mini_batch_size,model,n,pid,seed_challenge,seed_distance,seed_instance,seed_model,shuffle,transformation
0,500,0.9339999999999999,xor,4,10000,ExperimentLogisticRegression,72dd5f9addc420f96fb8f1d053b68a2ba64d68e595505c241c947aa836f02874,6d91d8b4-7738-4210-a426-f02ac6a9d97f,10000,10000,1,5.153646230697632,500,"[ 2.11521704e-01 -1.30078441e-01 -4.63213504e-02 -1.34901893e-01
  1.34113001e-01 -3.09472083e-01  2.77266413e-01 -1.56227801e-01
  4.15097957e-02 -2.02184167e-02  2.02454625e-01 -2.51404444e-01
 -5.87262835e-02 -3.87335739e-02  1.26601582e-01 -1.45718436e-01
 -3.20816716e-02 -1.28642175e-01  1.47534284e-02  1.09113106e-01
 -1.83300507e-01  1.73590046e-01  7.71141311e-02  4.87746185e-02
  1.25101044e-01 -9.40849544e-02  2.42675203e-04 -1.47727089e-01
 -6.26735445e-02  8.42819961e-02 -6.15745569e-02 -3.38630324e-02
 -5.02733536e-02 -1.25316388e-01 -9.20685466e-02 -3.20986277e-03
 -1.67700709e-01  2.62232248e-02  2.11283088e-01  6.94061477e-02
 -1.58776844e-02 -1.35162306e-01 -1.37517161e-01  2.11491599e-01
  1.70798869e-02 -9.58126521e-02 -9.68256007e-03  2.40887725e-01
  4.09431274e-02  2.64087028e-02  2.46425210e-02 -7.54880276e-02
 -1.22641348e-01 -2.29393295e-03  2.00698097e-03  6.85415458e-02
  1.44624059e-01  1.32158611e-01  4.37915929e-02  1.01450067e-01
 -1.15555435e-01  1.95912930e-01  2.69417977e-02 -5.85552848e-02
  2.66830301e-02]",64,18997,2,4,1,3,False,id
0,500,0.9452,xor,4,10000,ExperimentLogisticRegression,1ccb36ea4baaa49a6338a5587cbe33324735e3222db65717901f2fcd759aaa78,8f1db115-07fe-4a05-8177-642833126b04,10000,10000,1,5.419321775436401,500,"[ 0.24161234 -0.07107913 -0.02867786 -0.15285605  0.086637   -0.3216334
  0.24479052 -0.10914642  0.03471602  0.02408417  0.18318499 -0.28159854
 -0.03068466 -0.04203796  0.15686738 -0.17864379 -0.00070537 -0.07879061
  0.01916969  0.07879582 -0.15012365  0.16834021  0.11635657  0.02690674
  0.13039049 -0.06617332 -0.00803297 -0.11697875 -0.03858077  0.08565568
 -0.09906326 -0.08623449 -0.09233767 -0.11319295 -0.09511644  0.00855791
 -0.13334438  0.0207758   0.22781038  0.10064005 -0.03512617 -0.06803323
 -0.13443411  0.21038936 -0.00716095 -0.10025943  0.05297581  0.29065514
  0.01483489  0.08478884  0.07229713 -0.03013298 -0.1569508  -0.04511963
 -0.03902154  0.04967332  0.12835292  0.11000904  0.00661698  0.14281007
 -0.10446718  0.14985191  0.071244   -0.08842249  0.02880152]",64,19003,2,4,1,3,False,lightweight_secure
0,500,0.9426,xor,4,10000,ExperimentLogisticRegression,65d5cc71d92a12188eb5db9b2b27237b3567f9196e571cbb853fa80d8f073903,20589cd9-6414-487b-917a-8642d0982647,10000,10000,1,5.460833549499512,500,"[ 2.48240171e-01 -8.26283054e-02 -3.21945517e-02 -1.76715091e-01
  8.22971220e-02 -3.02619846e-01  2.19570281e-01 -8.32242955e-02
  5.87675009e-02 -1.55579380e-04  1.81368567e-01 -2.78107104e-01
 -6.24304555e-02 -4.02298547e-02  1.58700639e-01 -1.67769411e-01
  6.79473110e-03 -1.46487299e-01  2.77745505e-03  6.89454736e-02
 -1.59803122e-01  1.28518697e-01  1.17901849e-01  8.57435739e-02
  1.20524209e-01 -1.09604403e-01  4.02540983e-02 -1.17429125e-01
 -5.06629936e-02  3.79205749e-02 -1.01548497e-01 -3.15045807e-02
 -9.25963048e-02 -8.74799653e-02 -8.66952063e-02  3.88159613e-03
 -1.51883494e-01  2.50217776e-02  2.05296782e-01  1.21917679e-01
 -2.39851849e-02 -9.09490489e-02 -8.89614038e-02  2.77097145e-01
  4.24959943e-02 -3.89899392e-02  1.66972503e-02  2.86538174e-01
  3.78795303e-02  5.76336967e-02  2.13012294e-02  8.15329849e-03
 -1.57689561e-01 -5.15775255e-02 -5.70289945e-02  7.62532711e-02
  9.94456028e-02  1.54349071e-01  4.50301919e-02  1.19511359e-01
 -1.12224140e-01  1.79386425e-01  4.49955561e-02 -6.00554804e-02
  2.02285305e-02]",64,18999,2,4,1,3,False,atf
0,500,0.9359,xor,4,10000,ExperimentLogisticRegression,f896bdaf24857554f9d1c92a920c8a116418e702c3e913ded1512a9269d3d337,4ada701b-74c9-4e34-95b6-a5d45fea9fba,10000,10000,1,5.972075700759888,500,"[ 0.23397783 -0.09231717 -0.03834929 -0.10523027  0.1031744  -0.28795349
  0.22887961 -0.11404021  0.01691981 -0.06894718  0.20638298 -0.3081888
 -0.04362349 -0.01831     0.19536448 -0.16310135  0.00187842 -0.12205385
 -0.00097132  0.0404335  -0.14333461  0.10776198  0.13602573  0.00952585
  0.16000485 -0.10748199 -0.02235164 -0.12680787 -0.04028097  0.04161544
 -0.11360415 -0.06466448 -0.06078155 -0.11634137 -0.09119474 -0.0181495
 -0.15163339  0.07567843  0.20877229  0.10567622 -0.05235799 -0.10112873
 -0.11442666  0.25469301  0.05919577 -0.08696218  0.04158847  0.24632021
 -0.00303722  0.09800071  0.04417    -0.06531011 -0.14690637  0.00218892
 -0.04532808  0.07566983  0.06686531  0.130417    0.06772053  0.15547468
 -0.12912871  0.13855124  0.08393469 -0.04525873  0.00136136]",64,18997,2,4,1,3,False,random
0,1000,0.9703,xor,4,10000,ExperimentLogisticRegression,8c31db227f0b6b7ff24c08a127dc5a7e29ec41ec2841bac66eeb25810548c010,54e9f6d6-1ab2-4ced-a794-89816dae0b75,10000,10000,1,7.874595403671265,1000,"[ 2.44430566e-01 -9.45014630e-02 -6.45129331e-02 -1.53196247e-01
  1.18574043e-01 -3.10155981e-01  2.42747114e-01 -8.70891853e-02
  5.84258456e-02 -3.17329313e-02  1.80389081e-01 -2.80291188e-01
 -4.06356027e-02 -6.15478376e-02  1.60409059e-01 -1.56560515e-01
 -3.09824123e-02 -1.25391026e-01 -1.18504700e-02  8.19665236e-02
 -1.49516091e-01  1.46274561e-01  1.17098679e-01  7.05474538e-02
  1.35089353e-01 -8.65307057e-02 -6.95144413e-03 -1.29570601e-01
 -4.76448383e-02  7.04648957e-02 -1.14607040e-01 -5.39284297e-02
 -9.15779694e-02 -1.17496367e-01 -6.65552711e-02  2.01432033e-04
 -1.74838373e-01  1.96876304e-02  2.13313765e-01  8.11485408e-02
 -2.62826747e-02 -1.16798405e-01 -9.26894099e-02  2.22522178e-01
  7.35030593e-03 -6.59826742e-02  1.39755748e-02  2.73966895e-01
  7.26809653e-03  7.05497651e-02  2.74910543e-02 -5.58464135e-02
 -1.63562640e-01 -3.82232743e-02 -1.58665479e-02  7.71284898e-02
  1.34550868e-01  1.31457286e-01  5.69722564e-02  1.21657846e-01
 -7.99190924e-02  1.77527485e-01  7.86968632e-02 -3.19941808e-02
 -1.57646049e-02]",64,19003,2,4,1,3,False,id
0,1000,0.971,xor,4,10000,ExperimentLogisticRegression,b7e1c9c608b7cdbbb8722be078f0b3cc9fef811e3fb4053677d3b49cfee3b799,b58a5b5b-0137-4725-b19f-1c2715528f8d,10000,10000,1,7.784240484237671,1000,"[ 0.22742059 -0.07302348 -0.05729598 -0.15215144  0.09600159 -0.28899478
  0.23849073 -0.0946046   0.03714998 -0.04397749  0.19620218 -0.26587738
 -0.04394767 -0.05353327  0.15560148 -0.15538206 -0.01005809 -0.12065765
 -0.00349614  0.07510443 -0.16217133  0.17080532  0.10286585  0.0605436
  0.11218845 -0.09686905  0.00030936 -0.11874151 -0.0500483   0.06640767
 -0.08999224 -0.04970233 -0.07748015 -0.11958276 -0.09154677 -0.01119806
 -0.17010536  0.05317845  0.22103541  0.10270867 -0.01793383 -0.13068211
 -0.11322727  0.22897578  0.01201371 -0.08761653  0.04515171  0.28973702
  0.0252081   0.08109061  0.04140169 -0.02624141 -0.14744511 -0.08313399
 -0.02554201  0.09394245  0.13808256  0.13575864  0.05367536  0.13026451
 -0.10458684  0.16795918  0.07895585 -0.04215022 -0.00529279]",64,18999,2,4,1,3,False,atf
0,1000,0.974,xor,4,10000,ExperimentLogisticRegression,8f34b34c80a9d24fc1043e9578c10f4d59084e100d447fd7496475697eaa59c8,67954d3e-113e-4841-8040-44010e3e9d00,10000,10000,1,8.21657395362854,1000,"[ 0.24093377 -0.07864262 -0.07949126 -0.12859608  0.13728721 -0.31680094
  0.22347759 -0.10297997  0.02802273 -0.02816612  0.21745638 -0.26070816
 -0.0584363  -0.0529682   0.15790578 -0.14584049 -0.01803246 -0.11384326
  0.00989018  0.07518574 -0.14419811  0.16134791  0.13566985  0.06719448
  0.12804745 -0.08606835 -0.0107472  -0.12872303 -0.05505274  0.07843494
 -0.07855916 -0.06528993 -0.10842888 -0.11289786 -0.07876088 -0.00246661
 -0.1641909   0.02836006  0.22671622  0.10162666 -0.02273365 -0.11043716
 -0.09601885  0.21796934  0.00087109 -0.10173479  0.02376539  0.28292089
  0.01263731  0.08498113  0.04636446 -0.04055897 -0.14064705 -0.04424088
 -0.01850064  0.07049926  0.12750125  0.12859981  0.02999827  0.10409324
 -0.11940897  0.17094711  0.07310816 -0.05300178  0.0022052 ]",64,19003,2,4,1,3,False,lightweight_secure
0,1000,0.9682,xor,4,10000,ExperimentLogisticRegression,58046ad90951130131109e5aabd28002e73e7b6b4716d5a4def00455d94898d9,6cad9363-b5c1-40ef-ac00-b1a5aa3115ef,10000,10000,1,8.700709581375122,1000,"[ 0.21662238 -0.0815565  -0.06244347 -0.13679871  0.10910905 -0.29549969
  0.23670795 -0.09424681  0.03904115 -0.03036312  0.19950925 -0.29437311
 -0.05320905 -0.05987488  0.17991412 -0.15020023  0.00066808 -0.14491556
 -0.00947647  0.07357734 -0.16513817  0.13463311  0.13972286  0.04460588
  0.1207021  -0.08896015 -0.02537212 -0.11534134 -0.02524954  0.0707828
 -0.09598809 -0.066979   -0.09750475 -0.11435825 -0.09841605 -0.0037385
 -0.1608393   0.05789471  0.22343356  0.09691628 -0.02324355 -0.12068068
 -0.09888414  0.24772286  0.0242633  -0.09859932  0.01702066  0.27476302
  0.01684447  0.07883402  0.0354894  -0.04697263 -0.1476014  -0.03091834
 -0.03439032  0.0703277   0.11886338  0.10664438  0.04539655  0.12528544
 -0.11101219  0.1632363   0.06201313 -0.04474667  0.01238914]",64,18999,2,4,1,3,False,random
0,500,0.9369,xor,4,10000,ExperimentLogisticRegression,f3686d89c98577a30a2d2179154cd49e8bfdeab9cd31b5b30f92de66efac710e,536133c5-12fd-4115-852b-afb1cf349e57,10000,10000,1,5.879632949829102,500,"[ 0.2217541  -0.024133   -0.06959925 -0.09753021  0.13780232 -0.31205982
  0.23946714 -0.13113567  0.01611445 -0.06362715  0.18521732 -0.31837619
 -0.04668298 -0.092357    0.15975175 -0.11694043 -0.03344873 -0.0998937
  0.01164813  0.06581417 -0.12934618  0.15018355  0.1040467   0.04296714
  0.1407505  -0.10090675 -0.01745386 -0.11283021 -0.03409077  0.04257758
 -0.09691029 -0.07338136 -0.0701509  -0.10738182 -0.11588673  0.01633043
 -0.14905064  0.0556191   0.24666502  0.1074379  -0.06038869 -0.0992465
 -0.08348231  0.19760588  0.01729094 -0.08236294  0.02911294  0.28199136
 -0.00744405  0.13404217  0.03678942 -0.08105277 -0.11935443 -0.08006207
  0.04438201  0.11210933  0.083984    0.14050594  0.05795514  0.14894404
 -0.08062375  0.14500311  0.0969994  -0.03646191 -0.01552381]",64,19001,2,4,1,3,False,aes_substitution
0,1500,0.9816,xor,4,10000,ExperimentLogisticRegression,c613c949032f733f196dc50ec0f90a94120b65c4a5bed19b3bda957a432fc615,b3513285-44e9-433d-b2d3-bc8caeeb261f,10000,10000,1,9.75667667388916,1500,"[ 0.22938994 -0.08523281 -0.07394075 -0.14887513  0.11171244 -0.30973155
  0.23961327 -0.08976236  0.0489499  -0.03991271  0.19455617 -0.27988103
 -0.03252863 -0.05436586  0.1507429  -0.14464291 -0.0161091  -0.12994159
 -0.00260101  0.08100175 -0.1577187   0.15259857  0.12196709  0.07687369
  0.12943089 -0.09677342 -0.01353584 -0.1359881  -0.04134374  0.07294817
 -0.09210215 -0.05509817 -0.09157163 -0.11419766 -0.08115036 -0.00411945
 -0.15854643  0.03103953  0.22195065  0.10386948 -0.02949128 -0.12330278
 -0.10400079  0.22721159  0.00467405 -0.07129001  0.01712083  0.26915592
  0.00870252  0.0804217   0.03890224 -0.03581568 -0.17154064 -0.045245
 -0.01041469  0.0772482   0.12711747  0.12874017  0.04180539  0.12028036
 -0.09688373  0.17972173  0.06935843 -0.04245713 -0.0095343 ]",64,19003,2,4,1,3,False,id
