N,accuracy,accuracy_curve,activation,batch_size,beta_1,beta_2,combiner,domain_in,domain_out,experiment,experiment_hash,experiment_id,iteration_limit,iterations,k,layers,learning_rate,loss,loss_curve,measured_time,n,name,patience,penalty,pid,preprocessing,print_learning,seed_challenges,seed_distance,seed_model,seed_simulation,tolerance,transformation,validation_frac
30000000,0.4999,"[0.5, 0.502, 0.504, 0.496, 0.499, 0.5, 0.5, 0.5, 0.5, 0.502, 0.5, 0.502, 0.503, 0.503, 0.503, 0.502, 0.502]",relu,10000,0.9,0.999,xor,-1,0,ExperimentMLPScikitLearn,7e7c7a50c3964f9a5d79b119e3b62a6011a5d976507fc4f5881f14dc55119f6c,da5ba845-4c06-4987-b470-378c417ebb49,40,17,8,"[256, 256, 256]",0.001,log_loss,"[0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693]",90737.4105377197,64,Multilayer Perceptron (scikit-learn),4,0.0002,172,no,False,5543,14107,37879,405,0.0025,id,0.000333333333333
30000000,0.5024,"[0.498, 0.496, 0.501, 0.499, 0.503, 0.496, 0.493, 0.501, 0.505, 0.503, 0.502, 0.501, 0.498]",relu,10000,0.9,0.999,xor,-1,0,ExperimentMLPScikitLearn,91c654863d3c2252dd19ea39f1f93f8ffbf1974dd9a2a60ad490f8a04e8cdfc5,7710615a-a919-444c-a8a6-5bb8e17e5651,40,13,8,"[256, 256, 256]",0.001,log_loss,"[0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693]",70399.7397258282,64,Multilayer Perceptron (scikit-learn),4,0.0002,101,no,False,5563,14127,37899,425,0.0025,id,0.000333333333333
30000000,0.9808,"[0.502, 0.504, 0.847, 0.971, 0.978, 0.977, 0.98, 0.982, 0.982, 0.982, 0.983, 0.983, 0.982]",relu,10000,0.9,0.999,xor,-1,0,ExperimentMLPScikitLearn,e081d6a0ecea144e4f2ccb380c06e85e2a4e181ef5b3e1f56c0df2a41a42948f,a3fd95b2-607f-40d6-a0ad-355d2693358d,40,13,8,"[256, 256, 256]",0.001,log_loss,"[0.693, 0.693, 0.652, 0.135, 0.065, 0.055, 0.051, 0.049, 0.047, 0.046, 0.044, 0.043, 0.042]",67444.1197733879,64,Multilayer Perceptron (scikit-learn),4,0.0002,241,no,False,5624,14188,37960,486,0.0025,id,0.000333333333333
30000000,0.9814,"[0.496, 0.5, 0.501, 0.501, 0.5, 0.501, 0.501, 0.497, 0.501, 0.501, 0.5, 0.51, 0.913, 0.968, 0.978, 0.98, 0.983, 0.983, 0.984, 0.982, 0.984]",relu,10000,0.9,0.999,xor,-1,0,ExperimentMLPScikitLearn,77e887ecf37df403a617dfbdb2c9d1b5492a7ff92d2ef00e78b28f39bc6897c7,4e0a8e48-d8fa-45a8-95a3-69c77d32b56f,40,21,8,"[256, 256, 256]",0.001,log_loss,"[0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.693, 0.462, 0.132, 0.075, 0.061, 0.056, 0.053, 0.05, 0.049, 0.048]",116391.468069077,64,Multilayer Perceptron (scikit-learn),4,0.0002,117,no,False,5599,14163,37935,461,0.0025,id,0.000333333333333
30000000,0.9825,"[0.518, 0.501, 0.502, 0.747, 0.917, 0.96, 0.974, 0.975, 0.977, 0.977, 0.977, 0.979, 0.98]",relu,10000,0.9,0.999,xor,-1,0,ExperimentMLPScikitLearn,07438404a23640e423941bebdbb18da00fee0a4281d98b4d5694a825668a60e6,a25f755f-b29e-4f6d-8f33-eb25f6300133,40,13,8,"[256, 256, 256]",0.001,log_loss,"[0.693, 0.693, 0.693, 0.658, 0.286, 0.142, 0.093, 0.074, 0.074, 0.067, 0.108, 0.068, 0.061]",72254.0791347027,64,Multilayer Perceptron (scikit-learn),4,0.0002,54,no,False,5626,14190,37962,488,0.0025,id,0.000333333333333
30000000,0.9842,"[0.503, 0.5, 0.943, 0.962, 0.975, 0.981, 0.982, 0.983, 0.984, 0.986, 0.986, 0.986, 0.986]",relu,10000,0.9,0.999,xor,-1,0,ExperimentMLPScikitLearn,be23322ae78de2e6e76f19451e7aaa6f30e1d5d60be52ba15af560fec0845d32,7265a951-20b0-4562-81f4-0cadd07f7ca3,40,13,8,"[256, 256, 256]",0.001,log_loss,"[0.693, 0.693, 0.331, 0.105, 0.079, 0.058, 0.05, 0.046, 0.043, 0.041, 0.04, 0.038, 0.037]",50544.183475256,64,Multilayer Perceptron (scikit-learn),4,0.0002,218,no,False,5620,14184,37956,482,0.0025,id,0.000333333333333
30000000,0.9855,"[0.499, 0.504, 0.957, 0.978, 0.982, 0.983, 0.983, 0.986, 0.987, 0.987, 0.986, 0.988, 0.989]",relu,10000,0.9,0.999,xor,-1,0,ExperimentMLPScikitLearn,842d093acde6365048a2675c5011cdd23e5f42a54f4ba5397d956976e0fab751,bd8080ec-0753-4c6c-a87a-028d791a8748,40,13,8,"[256, 256, 256]",0.001,log_loss,"[0.693, 0.693, 0.26, 0.077, 0.057, 0.051, 0.047, 0.044, 0.042, 0.04, 0.039, 0.037, 0.036]",75936.1638524532,64,Multilayer Perceptron (scikit-learn),4,0.0002,65,no,False,5630,14194,37966,492,0.0025,id,0.000333333333333
30000000,0.9861,"[0.497, 0.497, 0.5, 0.501, 0.499, 0.914, 0.977, 0.982, 0.984, 0.983, 0.984, 0.986, 0.985]",relu,10000,0.9,0.999,xor,-1,0,ExperimentMLPScikitLearn,1ed8aae10a36bebfc726c02c792c0c1e4f8eb577d2c873277f4eea1cfebcf0a6,a5662a1a-7b69-4ccd-910a-0c80e3ffc956,40,13,8,"[256, 256, 256]",0.001,log_loss,"[0.693, 0.693, 0.693, 0.693, 0.693, 0.584, 0.103, 0.054, 0.044, 0.04, 0.038, 0.036, 0.035]",75176.6843824387,64,Multilayer Perceptron (scikit-learn),4,0.0002,258,no,False,5605,14169,37941,467,0.0025,id,0.000333333333333
30000000,0.9864,"[0.499, 0.502, 0.5, 0.501, 0.891, 0.966, 0.974, 0.977, 0.979, 0.98, 0.98, 0.98, 0.982, 0.982, 0.983, 0.985, 0.985, 0.984, 0.986, 0.985]",relu,10000,0.9,0.999,xor,-1,0,ExperimentMLPScikitLearn,91e0a4b5e68e017cc073955402ef847639ef4258de77f9bf3c7d08b1b8fe8a32,78aa9ce2-3e87-495b-a976-60c3bf45b33e,40,20,8,"[256, 256, 256]",0.001,log_loss,"[0.693, 0.693, 0.693, 0.693, 0.573, 0.128, 0.075, 0.063, 0.057, 0.054, 0.051, 0.049, 0.046, 0.044, 0.042, 0.04, 0.039, 0.038, 0.037, 0.036]",111251.051756382,64,Multilayer Perceptron (scikit-learn),4,0.0002,85,no,False,5587,14151,37923,449,0.0025,id,0.000333333333333
30000000,0.9866,"[0.502, 0.503, 0.767, 0.976, 0.98, 0.981, 0.984, 0.985, 0.986, 0.985, 0.987, 0.986, 0.986]",relu,10000,0.9,0.999,xor,-1,0,ExperimentMLPScikitLearn,dc54d8e030bd491a80a581839967965d223c4705dbd9dd9c2106cb8aac15f1e6,5a18ba37-0aa1-4260-ad8b-35c4334309c5,40,13,8,"[256, 256, 256]",0.001,log_loss,"[0.693, 0.693, 0.673, 0.133, 0.052, 0.043, 0.039, 0.037, 0.035, 0.034, 0.033, 0.032, 0.031]",69062.8211681843,64,Multilayer Perceptron (scikit-learn),4,0.0002,226,no,False,5603,14167,37939,465,0.0025,id,0.000333333333333
